Pit,seed_trt,pit_trt,total_m2,seeded_m2,nonseeded_m2,season
100,seed pellet,control,100,0,100,spring
101,not seeded,control,0,0,0,spring
102,not seeded,control,50,0,50,spring
103,seed pellet,pit,4600,225,4375,spring
104,not seeded,pit,1000,0,1000,spring
105,seed pellet,control,25,0,25,spring
106,not seeded,pit,1925,0,1925,spring
107,seed pellet,pit + biochar,250,25,225,spring
108,bare seeds,pit,750,50,700,spring
109,not seeded,pit + biochar,275,0,275,spring
110,not seeded,control,25,0,25,spring
111,seed pellet,pit,675,25,650,spring
112,bare seeds,control,25,0,25,spring
113,seed pellet,control,25,0,25,spring
114,seed pellet,control,50,0,50,spring
115,bare seeds,control,125,0,125,spring
116,bare seeds,pit + biochar,175,50,125,spring
117,bare seeds,pit,300,75,225,spring
118,seed pellet,pit + biochar,275,25,250,spring
119,not seeded,control,25,0,25,spring
120,not seeded,pit,375,25,350,spring
121,bare seeds,pit,250,50,200,spring
122,seed pellet,pit + biochar,325,75,250,spring
123,not seeded,pit + biochar,800,0,800,spring
124,bare seeds,pit + biochar,800,25,775,spring
125,not seeded,pit,725,0,725,spring
126,seed pellet,pit,200,25,175,spring
127,seed pellet,pit,175,50,125,spring
128,not seeded,pit,175,0,175,spring
129,bare seeds,pit + biochar,3000,150,2850,spring
130,not seeded,pit,775,0,775,spring
131,bare seeds,pit,925,100,825,spring
132,seed pellet,pit,125,25,100,spring
133,seed pellet,pit,1675,50,1625,spring
134,bare seeds,pit + biochar,1350,50,1300,spring
135,not seeded,pit,750,0,750,spring
136,not seeded,pit,2450,0,2450,spring
137,bare seeds,pit,50,0,50,spring
138,seed pellet,pit,275,75,200,spring
139,bare seeds,pit,150,25,125,spring
140,bare seeds,pit,825,50,775,spring
141,not seeded,pit,575,0,575,spring
142,seed pellet,pit,300,0,300,spring
143,not seeded,pit + biochar,1175,0,1175,spring
144,seed pellet,pit + biochar,650,150,500,spring
145,seed pellet,pit,400,25,375,spring
146,not seeded,pit + biochar,1625,0,1625,spring
147,bare seeds,pit + biochar,775,75,700,spring
148,not seeded,pit,925,0,925,spring
149,seed pellet,pit + biochar,1425,200,1225,spring
150,bare seeds,pit,2350,75,2275,spring
