Date,Treatment,mean_tmt_VWC,se_tmt_VWC
11/24/2020,Pit,0.057302083,0.009886397
11/24/2020,Pit + Char,0.0418125,0.009520833
11/25/2020,Control,0,0.004759353
11/25/2020,Pit,0.054947917,0.010847032
11/25/2020,Pit + Char,0.037229167,0.012729167
11/26/2020,Control,0,0.004724266
11/26/2020,Pit,0.055458333,0.010629098
11/26/2020,Pit + Char,0.037479167,0.013395833
11/27/2020,Control,0,0.004745928
11/27/2020,Pit,0.05125,0.011246849
11/27/2020,Pit + Char,0.032479167,0.0151875
11/28/2020,Control,0,0.004810967
11/28/2020,Pit,0.050020833,0.011232774
11/28/2020,Pit + Char,0.030354167,0.015895833
11/29/2020,Control,0,0.004732225
11/29/2020,Pit,0.049875,0.01099654
11/29/2020,Pit + Char,0.029875,0.01625
11/30/2020,Control,0,0.004671082
11/30/2020,Pit,0.049822917,0.010742574
11/30/2020,Pit + Char,0.029604167,0.016604167
12/1/2020,Control,0,0.004349641
12/1/2020,Pit,0.049177083,0.01071983
12/1/2020,Pit + Char,0.028875,0.017208333
12/2/2020,Control,0,0.004067287
12/2/2020,Pit,0.047072917,0.010679007
12/2/2020,Pit + Char,0.025958333,0.017958333
12/3/2020,Control,0,0.004095234
12/3/2020,Pit,0.042572917,0.01057698
12/3/2020,Pit + Char,0.019458333,0.017791667
12/4/2020,Control,0,0.004075047
12/4/2020,Pit,0.042895833,0.010327991
12/4/2020,Pit + Char,0.0188125,0.017479167
12/5/2020,Control,0,0.004073663
12/5/2020,Pit,0.044291667,0.010423095
12/5/2020,Pit + Char,0.0208125,0.018145833
12/6/2020,Control,0,0.004027359
12/6/2020,Pit,0.04475,0.010653488
12/6/2020,Pit + Char,0.022729167,0.0190625
12/7/2020,Control,0,0.004142726
12/7/2020,Pit,0.04371875,0.010679481
12/7/2020,Pit + Char,0.020979167,0.019895833
12/8/2020,Control,0,0.004202636
12/8/2020,Pit,0.04403125,0.010598843
12/8/2020,Pit + Char,0.021208333,0.020708333
12/9/2020,Control,0,0.004366808
12/9/2020,Pit,0.043489583,0.010476169
12/9/2020,Pit + Char,0.020854167,0.0211875
12/10/2020,Control,0,0.004147491
12/10/2020,Pit,0.046427083,0.009510706
12/10/2020,Pit + Char,0.027104167,0.018645833
12/11/2020,Control,0,0.005779974
12/11/2020,Pit,0.05596875,0.008527077
12/11/2020,Pit + Char,0.037291667,0.01475
12/12/2020,Control,0,0.006221123
12/12/2020,Pit,0.053260417,0.008710682
12/12/2020,Pit + Char,0.032604167,0.0158125
12/13/2020,Control,0,0.005698897
12/13/2020,Pit,0.054885417,0.009173331
12/13/2020,Pit + Char,0.0346875,0.015854167
12/14/2020,Control,0,0.006025481
12/14/2020,Pit,0.0563125,0.008540489
12/14/2020,Pit + Char,0.036145833,0.0148125
12/15/2020,Control,0,0.005757506
12/15/2020,Pit,0.057895833,0.00854733
12/15/2020,Pit + Char,0.038125,0.014291667
12/16/2020,Control,0,0.00647138
12/16/2020,Pit,0.053770833,0.00868785
12/16/2020,Pit + Char,0.030291667,0.014333333
12/17/2020,Control,0,0.006631275
12/17/2020,Pit,0.050458333,0.00746665
12/17/2020,Pit + Char,0.023895833,0.0128125
12/18/2020,Control,0,0.006316521
12/18/2020,Pit,0.0545625,0.007389962
12/18/2020,Pit + Char,0.030604167,0.011145833
12/19/2020,Control,0,0.006795912
12/19/2020,Pit,0.052802083,0.007449101
12/19/2020,Pit + Char,0.0270625,0.011729167
12/20/2020,Control,0,0.007281389
12/20/2020,Pit,0.049947917,0.00671903
12/20/2020,Pit + Char,0.021958333,0.010833333
12/21/2020,Control,0.002302083,0.011917594
12/21/2020,Pit,0.052208333,0.006402876
12/21/2020,Pit + Char,0.026541667,0.008541667
12/22/2020,Control,0.027385417,0.010972073
12/22/2020,Pit,0.0710625,0.006318433
12/22/2020,Pit + Char,0.051125,0.002208333
12/23/2020,Control,0.011208333,0.006292977
12/23/2020,Pit,0.068427083,0.007686519
12/23/2020,Pit + Char,0.037041667,0.003041667
12/24/2020,Control,0,0.008784736
12/24/2020,Pit,0.052291667,0.006142666
12/24/2020,Pit + Char,0.01325,0.003583333
12/25/2020,Control,0,0.009663329
12/25/2020,Pit,0.0525,0.006140593
12/25/2020,Pit + Char,0.0105625,0.001104167
12/26/2020,Control,0,0.009537881
12/26/2020,Pit,0.058166667,0.006645953
12/26/2020,Pit + Char,0.014416667,0.000708333
12/27/2020,Control,0,0.00977409
12/27/2020,Pit,0.057489583,0.00429087
12/27/2020,Pit + Char,0.012,0.000791667
12/28/2020,Control,0.010604167,0.008998738
12/28/2020,Pit,0.072708333,0.004817413
12/28/2020,Pit + Char,0.028708333,0.00275
12/29/2020,Control,0.023947917,0.00820767
12/29/2020,Pit,0.088677083,0.007413435
12/29/2020,Pit + Char,0.044875,0.007166667
12/30/2020,Control,0,0.009640972
12/30/2020,Pit,0.06584375,0.00489172
12/30/2020,Pit + Char,0.023333333,0.00225
12/31/2020,Control,0,0.010258499
12/31/2020,Pit,0.056177083,0.002785668
12/31/2020,Pit + Char,0.0114375,0.0008125
1/1/2021,Control,0,0.008710435
1/1/2021,Pit,0.05653125,0.00370749
1/1/2021,Pit + Char,0.013333333,0.000708333
1/2/2021,Control,0,0.009528927
1/2/2021,Pit,0.061104167,0.00476959
1/2/2021,Pit + Char,0.016041667,4.17E-05
1/3/2021,Control,0,0.010562041
1/3/2021,Pit,0.059208333,0.003462932
1/3/2021,Pit + Char,0.012166667,0.001041667
1/4/2021,Control,0.00053125,0.009995577
1/4/2021,Pit,0.066135417,0.005200755
1/4/2021,Pit + Char,0.019104167,0.000645833
1/5/2021,Control,0.02046875,0.010308457
1/5/2021,Pit,0.083864583,0.008946494
1/5/2021,Pit + Char,0.035979167,0.004479167
1/6/2021,Control,0.009145833,0.012317763
1/6/2021,Pit,0.079010417,0.009952802
1/6/2021,Pit + Char,0.028833333,0.00275
1/7/2021,Control,0.005135417,0.013334932
1/7/2021,Pit,0.077927083,0.009796695
1/7/2021,Pit + Char,0.025479167,0.000729167
1/8/2021,Control,0,0.015565953
1/8/2021,Pit,0.07125,0.007782767
1/8/2021,Pit + Char,0.017708333,0.002916667
1/9/2021,Control,0,0.014263284
1/9/2021,Pit,0.075104167,0.007305394
1/9/2021,Pit + Char,0.020145833,0.002354167
1/10/2021,Control,0,0.015771649
1/10/2021,Pit,0.07046875,0.006624091
1/10/2021,Pit + Char,0.014458333,0.0035
1/11/2021,Control,0,0.018080016
1/11/2021,Pit,0.061458333,0.006301019
1/11/2021,Pit + Char,0.006916667,0.005041667
1/12/2021,Control,0,0.019200627
1/12/2021,Pit,0.058135417,0.005706619
1/12/2021,Pit + Char,0.003708333,0.005166667
1/13/2021,Control,0,0.01852537
1/13/2021,Pit,0.0628125,0.005699367
1/13/2021,Pit + Char,0.0075625,0.0044375
1/14/2021,Control,0,0.016643607
1/14/2021,Pit,0.074885417,0.007256809
1/14/2021,Pit + Char,0.017041667,0.0015
1/15/2021,Control,0,0.017670698
1/15/2021,Pit,0.0819375,0.009681659
1/15/2021,Pit + Char,0.025354167,0.000604167
1/16/2021,Control,0.0071875,0.018302005
1/16/2021,Pit,0.102791667,0.011209069
1/16/2021,Pit + Char,0.050625,0.0035
1/17/2021,Control,0.004354167,0.018570791
1/17/2021,Pit,0.109125,0.010456258
1/17/2021,Pit + Char,0.0690625,0.004604167
1/18/2021,Control,0.005833333,0.018874249
1/18/2021,Pit,0.115416667,0.011014051
1/18/2021,Pit + Char,0.0761875,0.0061875
1/19/2021,Control,0.008447917,0.018744871
1/19/2021,Pit,0.120260417,0.009209031
1/19/2021,Pit + Char,0.07975,0.0075
1/20/2021,Control,0.012739583,0.018986825
1/20/2021,Pit,0.121875,0.007941536
1/20/2021,Pit + Char,0.080291667,0.007541667
1/21/2021,Control,0.003916667,0.020043081
1/21/2021,Pit,0.11640625,0.0082998
1/21/2021,Pit + Char,0.073291667,0.006166667
1/22/2021,Control,0.00603125,0.019899526
1/22/2021,Pit,0.117145833,0.007080565
1/22/2021,Pit + Char,0.073145833,0.006979167
1/23/2021,Control,0.045447917,0.011574804
1/23/2021,Pit,0.1225625,0.005074517
1/23/2021,Pit + Char,0.086125,0.016125
1/24/2021,Control,0.051291667,0.011119784
1/24/2021,Pit,0.130479167,0.007002697
1/24/2021,Pit + Char,0.092291667,0.016416667
1/25/2021,Control,0.130364583,0.03135023
1/25/2021,Pit,0.166458333,0.01147181
1/25/2021,Pit + Char,0.1385,0.026041667
1/26/2021,Control,0.12684375,0.029416521
1/26/2021,Pit,0.187770833,0.011809646
1/26/2021,Pit + Char,0.149166667,0.029083333
1/27/2021,Control,0.0748125,0.019744421
1/27/2021,Pit,0.187666667,0.009544638
1/27/2021,Pit + Char,0.126520833,0.0245625
1/28/2021,Control,0.093895833,0.020707967
1/28/2021,Pit,0.19046875,0.010789325
1/28/2021,Pit + Char,0.133854167,0.027020833
1/29/2021,Control,0.123375,0.017846406
1/29/2021,Pit,0.210239583,0.008342137
1/29/2021,Pit + Char,0.140291667,0.026416667
1/30/2021,Control,0.11403125,0.020292325
1/30/2021,Pit,0.216,0.004151117
1/30/2021,Pit + Char,0.132520833,0.025270833
1/31/2021,Control,0.0705,0.028188052
1/31/2021,Pit,0.202875,0.003869096
1/31/2021,Pit + Char,0.114104167,0.0198125
2/1/2021,Control,0.06659375,0.029690399
2/1/2021,Pit,0.197895833,0.004042186
2/1/2021,Pit + Char,0.111,0.018583333
2/2/2021,Control,0.068604167,0.028387736
2/2/2021,Pit,0.191875,0.004631033
2/2/2021,Pit + Char,0.1073125,0.0173125
2/3/2021,Control,0.063,0.028746825
2/3/2021,Pit,0.186854167,0.004618317
2/3/2021,Pit + Char,0.101895833,0.014979167
2/4/2021,Control,0.05359375,0.031644214
2/4/2021,Pit,0.184291667,0.004770727
2/4/2021,Pit + Char,0.0976875,0.0148125
2/5/2021,Control,0.029229167,0.036307197
2/5/2021,Pit,0.177572917,0.004430644
2/5/2021,Pit + Char,0.086354167,0.009479167
2/6/2021,Control,0.027489583,0.03637701
2/6/2021,Pit,0.1753125,0.004563102
2/6/2021,Pit + Char,0.085333333,0.009041667
2/7/2021,Control,0.023708333,0.036789697
2/7/2021,Pit,0.172416667,0.004697566
2/7/2021,Pit + Char,0.082625,0.007666667
2/8/2021,Control,0.023260417,0.036543667
2/8/2021,Pit,0.169791667,0.004732821
2/8/2021,Pit + Char,0.080645833,0.006229167
2/9/2021,Control,0.01903125,0.037294713
2/9/2021,Pit,0.16603125,0.004865148
2/9/2021,Pit + Char,0.076666667,0.004333333
2/10/2021,Control,0.019125,0.036715864
2/10/2021,Pit,0.162083333,0.004817052
2/10/2021,Pit + Char,0.075333333,0.006
2/11/2021,Control,0.012770833,0.03832263
2/11/2021,Pit,0.15953125,0.004803981
2/11/2021,Pit + Char,0.072041667,0.004083333
2/12/2021,Control,0.006229167,0.039404444
2/12/2021,Pit,0.155875,0.005110837
2/12/2021,Pit + Char,0.067020833,0.0023125
2/13/2021,Control,0.0048125,0.038406473
2/13/2021,Pit,0.153385417,0.005573358
2/13/2021,Pit + Char,0.0649375,0.003354167
2/14/2021,Control,0.014875,0.034133936
2/14/2021,Pit,0.1495,0.005490996
2/14/2021,Pit + Char,0.066083333,0.004916667
2/15/2021,Control,3.13E-05,0.037445664
2/15/2021,Pit,0.145604167,0.00469712
2/15/2021,Pit + Char,0.0579375,0.000145833
2/16/2021,Control,0.0209375,0.030718444
2/16/2021,Pit,0.146947917,0.005317151
2/16/2021,Pit + Char,0.065770833,0.003770833
2/17/2021,Control,0.013666667,0.032853759
2/17/2021,Pit,0.147927083,0.004704502
2/17/2021,Pit + Char,0.063854167,0.001395833
2/18/2021,Control,0.01153125,0.033202897
2/18/2021,Pit,0.1475625,0.004655259
2/18/2021,Pit + Char,0.063104167,0.002104167
2/19/2021,Control,0.010583333,0.03417146
2/19/2021,Pit,0.146354167,0.004384002
2/19/2021,Pit + Char,0.062458333,4.17E-05
2/20/2021,Control,0.011947917,0.033421764
2/20/2021,Pit,0.14790625,0.004640688
2/20/2021,Pit + Char,0.062916667,0.000416667
2/21/2021,Control,0.0031875,0.036269712
2/21/2021,Pit,0.14628125,0.00485744
2/21/2021,Pit + Char,0.059708333,0.00125
2/22/2021,Control,0.000364583,0.037335489
2/22/2021,Pit,0.145291667,0.004934906
2/22/2021,Pit + Char,0.058270833,0.002020833
2/23/2021,Control,0,0.037539009
2/23/2021,Pit,0.14565625,0.005166789
2/23/2021,Pit + Char,0.058375,0.002375
2/24/2021,Control,0,0.038636343
2/24/2021,Pit,0.144045455,0.00507319
2/24/2021,Pit + Char,0.057090909,0.002590909
3/2/2021,Control,0.0606,0.006375343
3/2/2021,Pit,0.1367,0.009149499
3/2/2021,Pit + Char,0.05965,0.00965
3/3/2021,Control,0.057270833,0.006334989
3/3/2021,Pit,0.134239583,0.009352448
3/3/2021,Pit + Char,0.056666667,0.009583333
3/4/2021,Control,0.055020833,0.006033435
3/4/2021,Pit,0.129770833,0.009151005
3/4/2021,Pit + Char,0.053166667,0.009333333
3/5/2021,Control,0.053458333,0.006123464
3/5/2021,Pit,0.127010417,0.009139945
3/5/2021,Pit + Char,0.05175,0.008958333
3/6/2021,Control,0.05034375,0.006192475
3/6/2021,Pit,0.1234375,0.009163517
3/6/2021,Pit + Char,0.048208333,0.008083333
3/7/2021,Control,0.049510417,0.00629156
3/7/2021,Pit,0.12034375,0.00893685
3/7/2021,Pit + Char,0.047041667,0.006416667
3/8/2021,Control,0.0466875,0.00649921
3/8/2021,Pit,0.116697917,0.008732412
3/8/2021,Pit + Char,0.0439375,0.005520833
3/9/2021,Control,0.043458333,0.006474956
3/9/2021,Pit,0.112864583,0.00874425
3/9/2021,Pit + Char,0.041979167,0.004479167
3/10/2021,Control,0.0405625,0.006822453
3/10/2021,Pit,0.11140625,0.008891911
3/10/2021,Pit + Char,0.042479167,0.003395833
3/11/2021,Control,0.037260417,0.00648945
3/11/2021,Pit,0.10946875,0.008780822
3/11/2021,Pit + Char,0.039166667,0.003166667
3/12/2021,Control,0.041395833,0.005680398
3/12/2021,Pit,0.10990625,0.008362317
3/12/2021,Pit + Char,0.042333333,0.0035
3/13/2021,Control,0.052333333,0.001632727
3/13/2021,Pit,0.113645833,0.007881822
3/13/2021,Pit + Char,0.0503125,0.004520833
3/14/2021,Control,0.143947917,0.025221068
3/14/2021,Pit,0.188697917,0.008761606
3/14/2021,Pit + Char,0.121083333,0.011458333
3/15/2021,Control,0.214197917,0.015211457
3/15/2021,Pit,0.236177083,0.008693691
3/15/2021,Pit + Char,0.181770833,0.0320625
3/16/2021,Control,0.207635417,0.010258062
3/16/2021,Pit,0.221291667,0.008689223
3/16/2021,Pit + Char,0.162145833,0.033520833
3/17/2021,Control,0.194635417,0.010083669
3/17/2021,Pit,0.212979167,0.009230687
3/17/2021,Pit + Char,0.15025,0.033
3/18/2021,Control,0.18484375,0.010818718
3/18/2021,Pit,0.20715625,0.009785361
3/18/2021,Pit + Char,0.141375,0.031958333
3/19/2021,Control,0.174625,0.011503233
3/19/2021,Pit,0.201583333,0.010170238
3/19/2021,Pit + Char,0.133166667,0.0305
3/20/2021,Control,0.163614583,0.012539144
3/20/2021,Pit,0.195947917,0.010448678
3/20/2021,Pit + Char,0.124104167,0.0284375
3/21/2021,Control,0.15671875,0.012973892
3/21/2021,Pit,0.191541667,0.01065486
3/21/2021,Pit + Char,0.117979167,0.027395833
3/22/2021,Control,0.150104167,0.012885923
3/22/2021,Pit,0.187791667,0.011014209
3/22/2021,Pit + Char,0.112208333,0.026125
3/23/2021,Control,0.143791667,0.013091481
3/23/2021,Pit,0.1838125,0.011166699
3/23/2021,Pit + Char,0.106270833,0.0256875
3/24/2021,Control,0.13771875,0.012874409
3/24/2021,Pit,0.179135417,0.011243624
3/24/2021,Pit + Char,0.101041667,0.024
3/25/2021,Control,0.133010417,0.012363682
3/25/2021,Pit,0.174958333,0.011630164
3/25/2021,Pit + Char,0.097020833,0.0230625
3/26/2021,Control,0.131635417,0.011567315
3/26/2021,Pit,0.169802083,0.011144066
3/26/2021,Pit + Char,0.103333333,0.0255
3/27/2021,Control,0.128447917,0.011022144
3/27/2021,Pit,0.17128125,0.011126318
3/27/2021,Pit + Char,0.107104167,0.0294375
3/28/2021,Control,0.124364583,0.010566552
3/28/2021,Pit,0.171510417,0.011234884
3/28/2021,Pit + Char,0.1036875,0.0271875
3/29/2021,Control,0.117510417,0.010517778
3/29/2021,Pit,0.16934375,0.011311309
3/29/2021,Pit + Char,0.098395833,0.024895833
3/30/2021,Control,0.111572917,0.011099057
3/30/2021,Pit,0.166677083,0.011439636
3/30/2021,Pit + Char,0.093,0.02475
3/31/2021,Control,0.1085,0.010975918
3/31/2021,Pit,0.16328125,0.011471538
3/31/2021,Pit + Char,0.089208333,0.024166667
4/1/2021,Control,0.10440625,0.010227637
4/1/2021,Pit,0.15865625,0.011377942
4/1/2021,Pit + Char,0.0849375,0.021854167
4/2/2021,Control,0.099739583,0.009345391
4/2/2021,Pit,0.152552083,0.010915956
4/2/2021,Pit + Char,0.080375,0.019083333
4/3/2021,Control,0.094583333,0.009236649
4/3/2021,Pit,0.147447917,0.010847272
4/3/2021,Pit + Char,0.0750625,0.017729167
4/4/2021,Control,0.089052083,0.00902027
4/4/2021,Pit,0.141666667,0.01080813
4/4/2021,Pit + Char,0.069395833,0.015895833
4/5/2021,Control,0.083197917,0.009114028
4/5/2021,Pit,0.135916667,0.010731924
4/5/2021,Pit + Char,0.063229167,0.0146875
4/6/2021,Control,0.073927083,0.010778002
4/6/2021,Pit,0.130083333,0.011116179
4/6/2021,Pit + Char,0.0556875,0.013645833
4/7/2021,Control,0.069041667,0.012514794
4/7/2021,Pit,0.126114583,0.011068604
4/7/2021,Pit + Char,0.052020833,0.012645833
4/8/2021,Control,0.065708333,0.012245795
4/8/2021,Pit,0.122791667,0.011043959
4/8/2021,Pit + Char,0.048875,0.010916667
4/9/2021,Control,0.06225,0.012066164
4/9/2021,Pit,0.11959375,0.010786925
4/9/2021,Pit + Char,0.047145833,0.0094375
4/10/2021,Control,0.061395833,0.01224209
4/10/2021,Pit,0.120635417,0.010233096
4/10/2021,Pit + Char,0.049770833,0.007854167
4/11/2021,Control,0.05790625,0.011601272
4/11/2021,Pit,0.119364583,0.009644421
4/11/2021,Pit + Char,0.046583333,0.006458333
4/12/2021,Control,0.053677083,0.011316155
4/12/2021,Pit,0.11584375,0.009245719
4/12/2021,Pit + Char,0.0421875,0.005354167
4/13/2021,Control,0.048697917,0.011063688
4/13/2021,Pit,0.111447917,0.00932079
4/13/2021,Pit + Char,0.0366875,0.004520833
4/14/2021,Control,0.048541667,0.010627464
4/14/2021,Pit,0.10915625,0.009002192
4/14/2021,Pit + Char,0.035479167,0.003729167
4/15/2021,Control,0.088197917,0.013948767
4/15/2021,Pit,0.111875,0.009024257
4/15/2021,Pit + Char,0.043354167,0.0051875
4/16/2021,Control,0.126875,0.026756819
4/16/2021,Pit,0.129927083,0.009761173
4/16/2021,Pit + Char,0.064229167,0.0051875
4/17/2021,Control,0.110770833,0.023499978
4/17/2021,Pit,0.134135417,0.010073132
4/17/2021,Pit + Char,0.0618125,0.004395833
4/18/2021,Control,0.100895833,0.020908341
4/18/2021,Pit,0.135125,0.010001548
4/18/2021,Pit + Char,0.060708333,0.003708333
4/19/2021,Control,0.0928125,0.018084969
4/19/2021,Pit,0.135052083,0.00974245
4/19/2021,Pit + Char,0.059166667,0.002791667
4/20/2021,Control,0.083864583,0.016570498
4/20/2021,Pit,0.132645833,0.009728914
4/20/2021,Pit + Char,0.054708333,0.001958333
4/21/2021,Control,0.077885417,0.014811473
4/21/2021,Pit,0.129208333,0.009711954
4/21/2021,Pit + Char,0.051645833,0.001645833
4/22/2021,Control,0.071625,0.013494544
4/22/2021,Pit,0.1263125,0.010142739
4/22/2021,Pit + Char,0.048625,0.001541667
4/23/2021,Control,0.06521875,0.012747405
4/23/2021,Pit,0.12315625,0.01059786
4/23/2021,Pit + Char,0.044645833,0.000729167
4/24/2021,Control,0.059625,0.01203692
4/24/2021,Pit,0.11975,0.01070021
4/24/2021,Pit + Char,0.041104167,0.0001875
4/25/2021,Control,0.055614583,0.010979798
4/25/2021,Pit,0.117260417,0.011028666
4/25/2021,Pit + Char,0.038291667,0.000666667
4/26/2021,Control,0.046947917,0.01079068
4/26/2021,Pit,0.11096875,0.010595812
4/26/2021,Pit + Char,0.0316875,0.0010625
4/27/2021,Control,0.042239583,0.010665722
4/27/2021,Pit,0.104645833,0.010198046
4/27/2021,Pit + Char,0.026291667,0.000875
4/28/2021,Control,0.04365625,0.009673031
4/28/2021,Pit,0.10459375,0.010276549
4/28/2021,Pit + Char,0.027979167,0.001104167
4/29/2021,Control,0.042510417,0.009175854
4/29/2021,Pit,0.102958333,0.00948694
4/29/2021,Pit + Char,0.028270833,0.000854167
4/30/2021,Control,0.0408125,0.008570336
4/30/2021,Pit,0.101479167,0.009305848
4/30/2021,Pit + Char,0.026833333,0.000916667
5/1/2021,Control,0.035770833,0.00837981
5/1/2021,Pit,0.097333333,0.00880303
5/1/2021,Pit + Char,0.022708333,0.000708333
5/2/2021,Control,0.030885417,0.008844682
5/2/2021,Pit,0.092177083,0.00852168
5/2/2021,Pit + Char,0.017854167,0.001020833
5/3/2021,Control,0.02828125,0.008762101
5/3/2021,Pit,0.087958333,0.008319346
5/3/2021,Pit + Char,0.014645833,0.000729167
5/4/2021,Control,0.02784375,0.008653977
5/4/2021,Pit,0.087114583,0.008088672
5/4/2021,Pit + Char,0.015354167,0.0006875
5/5/2021,Control,0.026541667,0.008504203
5/5/2021,Pit,0.085916667,0.007961732
5/5/2021,Pit + Char,0.0140625,0.001020833
5/6/2021,Control,0.026197917,0.008240426
5/6/2021,Pit,0.0845625,0.007722631
5/6/2021,Pit + Char,0.013166667,0.00125
5/7/2021,Control,0.022,0.008389326
5/7/2021,Pit,0.0808125,0.007277059
5/7/2021,Pit + Char,0.009333333,0.001708333
5/8/2021,Control,0.016052083,0.008644743
5/8/2021,Pit,0.0754375,0.006722046
5/8/2021,Pit + Char,0.004541667,0.002125
5/9/2021,Control,0.009416667,0.008579236
5/9/2021,Pit,0.070072917,0.006426476
5/9/2021,Pit + Char,0,0.002145833
5/10/2021,Control,0.005916667,0.008238681
5/10/2021,Pit,0.06675,0.006173209
5/10/2021,Pit + Char,0,0.001979167
5/11/2021,Control,0.00696875,0.007940432
5/11/2021,Pit,0.065395833,0.005674894
5/11/2021,Pit + Char,0,0.002125
5/12/2021,Control,0.007072917,0.007829553
5/12/2021,Pit,0.065458333,0.005700547
5/12/2021,Pit + Char,0,0.002208333
5/13/2021,Control,0.0086875,0.007726639
5/13/2021,Pit,0.065833333,0.005697755
5/13/2021,Pit + Char,0,0.002729167
5/14/2021,Control,0.00740625,0.007726749
5/14/2021,Pit,0.064697917,0.005790877
5/14/2021,Pit + Char,0,0.003083333
5/15/2021,Control,0.004083333,0.00779369
5/15/2021,Pit,0.061489583,0.005502324
5/15/2021,Pit + Char,0,0.003520833
5/16/2021,Control,0.002114583,0.007891194
5/16/2021,Pit,0.059197917,0.005208566
5/16/2021,Pit + Char,0,0.003729167
5/17/2021,Control,0,0.007868225
5/17/2021,Pit,0.05675,0.004904027
5/17/2021,Pit + Char,0,0.00375
5/18/2021,Control,0,0.00778968
5/18/2021,Pit,0.055270833,0.00513449
5/18/2021,Pit + Char,0,0.0036875
5/19/2021,Control,0.000572917,0.007672201
5/19/2021,Pit,0.055385417,0.005002441
5/19/2021,Pit + Char,0,0.003729167
5/20/2021,Control,0,0.007788721
5/20/2021,Pit,0.053375,0.005287591
5/20/2021,Pit + Char,0,0.003916667
5/21/2021,Control,0,0.006754957
5/21/2021,Pit,0.048479167,0.0048686
5/21/2021,Pit + Char,0,0.002833333
5/22/2021,Control,0,0.007199035
5/22/2021,Pit,0.04959375,0.005175602
5/22/2021,Pit + Char,0,0.003041667
5/23/2021,Control,0,0.007458981
5/23/2021,Pit,0.04790625,0.005046181
5/23/2021,Pit + Char,0,0.0029375
5/24/2021,Control,0,0.007488262
5/24/2021,Pit,0.047291667,0.005089307
5/24/2021,Pit + Char,0,0.002770833
5/25/2021,Control,0,0.007341701
5/25/2021,Pit,0.0463875,0.005558491
5/25/2021,Pit + Char,0,0.00285
6/26/2021,Control,0,0.006306632
6/26/2021,Pit,0.037644444,0.006994425
6/26/2021,Pit + Char,0,0.007266667
6/27/2021,Control,0,0.006241623
6/27/2021,Pit,0.031944444,0.006961632
6/27/2021,Pit + Char,0,0.007125
6/28/2021,Control,0,0.006258212
6/28/2021,Pit,0.032194444,0.00701195
6/28/2021,Pit + Char,0,0.007229167
6/29/2021,Control,0,0.006227703
6/29/2021,Pit,0.028597222,0.006934938
6/29/2021,Pit + Char,0,0.007020833
6/30/2021,Control,0,0.006150575
6/30/2021,Pit,0.032319444,0.007057729
6/30/2021,Pit + Char,0,0.007333333
7/1/2021,Control,0,0.006514729
7/1/2021,Pit,0.032583333,0.007056362
